shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
f923454e-839e-4ce8-bd28-621a56212d40,40.4205713764841,-86.8458235448876,124,7085.09
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.4182173444203,-86.8930492858741,147,10580.18
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.4540698188331,-86.9285637834144,19,1290.36
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.444060561855,-86.9432318551603,66,4502.43
ee49c7f5-2351-445b-b4ed-f0f3503377f4,40.4051690960845,-86.8638029916679,73,4567.08
5e8eb583-bb9c-4d47-82e1-f2be2c036dcf,40.4552557211892,-86.9245183045125,70,4402.51
1545ee20-7633-4938-adf4-673f4586f25a,40.403009248714,-86.8282779271724,45,3524.15
1934197d-f175-49a7-839e-fc3ac6bf46fa,40.418249496843,-86.891552804858,59,3991.79
991a95f3-1510-4bce-a830-fde22f082f7f,40.4369448494241,-86.898157175734,35,2159.02
53fab52c-1139-47cc-9b3f-f3b9d78d86eb,40.4496500194902,-86.9424756944618,19,632.49
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.4090517627346,-86.8929811863938,20,1508.19
79578537-88cd-4d42-9745-49cf6f3c5712,40.3953804472288,-86.8859987378779,141,10838
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.393304401237,-86.9124728091045,60,4559.2
3f0501eb-3b2c-4ffd-ac91-7aea62ab0db7,40.4204094660526,-86.8604714787287,48,3134.01
1545ee20-7633-4938-adf4-673f4586f25a,40.3935385468965,-86.8097314331813,128,11202.4
190df76a-874b-4006-aed3-168253df771a,40.4016802659194,-86.8930721610628,31,2329.87
f59200a9-b1ba-4ca9-b9c9-fa18fb3b8be1,40.4282439801054,-86.9007729194149,22,1689.98
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.3830847453979,-86.8890197482906,117,8347.58
5b84de10-9e34-4d39-ade5-2c36fd4e64a8,40.4343743693547,-86.8873152968936,64,3859.51
1934197d-f175-49a7-839e-fc3ac6bf46fa,40.3954747786237,-86.8709926009432,1,18.34
f625fb8e-e48c-44b1-8eb4-7151f0d3b71d,40.4246849074772,-86.9289710777385,65,4226.64
30f49bff-7d39-4b55-aa46-8bf394572be7,40.4175253772988,-86.8600025572957,36,3302.08
8efabf15-d065-404b-b1bb-535c12a9b3be,40.3926734470086,-86.8384048210942,39,4632.47
7e86a5a0-948f-4743-b41d-59a7e2126f1a,40.424696518153,-86.8885614351092,22,1100.54
b3ee4a19-563f-496d-909b-28caa69cda68,40.4349008227488,-86.9153053365844,119,7529.69
b3ee4a19-563f-496d-909b-28caa69cda68,40.4654406282911,-86.9317746092916,27,2741.39
4fd2167d-7855-4648-8faf-21606791a86c,40.4309897602722,-86.9103135325356,161,6017.99
c9799aec-2e5d-4861-bab9-3f93198d76dc,40.4220225340626,-86.9043225391069,33,1322.36
7e86a5a0-948f-4743-b41d-59a7e2126f1a,40.4247086124228,-86.8843327924367,28,1460.98
d9e6d371-9610-44d9-9781-33cddd4eee53,40.460136912021,-86.9619910804538,24,1922.11
1545ee20-7633-4938-adf4-673f4586f25a,40.3960571567328,-86.8383711511371,37,1889.91
1545ee20-7633-4938-adf4-673f4586f25a,40.3830363038111,-86.8427490938001,0,0
10661157-85f9-4587-9139-0124cd3c3f7f,40.381703472176,-86.8767832011775,38,3474.41
03e74389-fe52-4946-8b43-0d5ae70eecd0,40.4690931291345,-86.9449092700994,24,2010.98
8d44af5f-359d-49f6-8b0b-cdbb682b958f,40.3933966318175,-86.9019794518144,108,9181.4
c9799aec-2e5d-4861-bab9-3f93198d76dc,40.4194219047731,-86.9001647834285,16,835.61
b3ee4a19-563f-496d-909b-28caa69cda68,40.447475808997,-86.919243440147,91,5768.76
cb2c14f0-3cf3-4b84-a135-816b58d5b909,40.420884255302,-86.8390246997046,58,4403.06
78dd6ba2-f1b9-40c8-b5b9-37967e740e9e,40.4182623856417,-86.8813377399801,106,6701.39
0be019d1-53dc-4049-9821-016d4e7d7ee0,40.4593828148299,-86.9352038464914,244,9772.88
17d55fe2-a8f1-4ddc-850e-0d203d1b2c6c,40.417618654662,-86.8166694394588,13,551.3
d62644f1-4b8e-4aa1-bc8d-0afb59c6b016,40.4441893487682,-86.8995943748151,60,3569.89
190df76a-874b-4006-aed3-168253df771a,40.3846897131172,-86.9046561204262,91,6978.44
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.3844423821236,-86.9111866898052,76,5689.87
ee49c7f5-2351-445b-b4ed-f0f3503377f4,40.3928615002293,-86.8480478865085,46,2563.83
84c26a62-3a7a-4caf-8161-3a9a00d948a9,40.4669161287088,-86.94552833401,25,828.83
5e8eb583-bb9c-4d47-82e1-f2be2c036dcf,40.4693366582525,-86.9387556590946,146,7306.77
e842f5a1-f2f3-4e5d-b025-0ada6d3caf83,40.384024569614,-86.8422962793422,132,12887.64
87c84019-852c-46c9-a3ea-0a644c510801,40.4493168593416,-86.941805851025,19,733.21
5b84de10-9e34-4d39-ade5-2c36fd4e64a8,40.4273381929208,-86.8465608113745,128,8333.14
190df76a-874b-4006-aed3-168253df771a,40.4129304539538,-86.8930114943235,17,1076.34
10661157-85f9-4587-9139-0124cd3c3f7f,40.3837675220184,-86.8952950701298,63,5099.18
f923454e-839e-4ce8-bd28-621a56212d40,40.4113291426348,-86.8388301959528,146,8732.98
b3ee4a19-563f-496d-909b-28caa69cda68,40.4426641290314,-86.9194078884284,104,6578.46
ee49c7f5-2351-445b-b4ed-f0f3503377f4,40.4174508046308,-86.8786670811647,100,6439.61
c9799aec-2e5d-4861-bab9-3f93198d76dc,40.4309367350194,-86.932168771906,74,4396.92
5c65de3b-4778-4554-ad22-3398f528e3ef,40.4173114328726,-86.8920164172161,5,582.78
fac42847-5b76-483b-9ea6-19c6cc0cbadc,40.4722,-86.9459,94,8671.56
5c65de3b-4778-4554-ad22-3398f528e3ef,40.3917439013949,-86.849696613006,66,5803.52
cb2c14f0-3cf3-4b84-a135-816b58d5b909,40.4297234881815,-86.8448971341604,125,6179.62
5b84de10-9e34-4d39-ade5-2c36fd4e64a8,40.4221929551739,-86.8470017121266,152,8952.75
53fab52c-1139-47cc-9b3f-f3b9d78d86eb,40.4489846829585,-86.9412906146831,36,805.58
d9e6d371-9610-44d9-9781-33cddd4eee53,40.467332,-86.956453,32,3182.1
7e86a5a0-948f-4743-b41d-59a7e2126f1a,40.4361781737911,-86.8621156729529,73,3999.04
f923454e-839e-4ce8-bd28-621a56212d40,40.4320722867633,-86.8822653687747,39,2476.83
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.3952951411183,-86.8969694209109,42,3136.13
4fd2167d-7855-4648-8faf-21606791a86c,40.4327529926749,-86.9058008137823,148,5403.49
