route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
21,b46095f5-5092-459d-86e7-20f6b85baca8,d6df314e-79ed-4db1-8add-09a825116e28,41320e98-b337-4bf2-9eff-4b8b6ac97941,to CityBus Center via Purdue Campus,1,e63b45d6-19d6-42d1-9abe-4152875ba94b
32,b46095f5-5092-459d-86e7-20f6b85baca8,2deee201-aa22-4222-bf3c-668603e378a4,53db175f-2a4f-40ea-b513-1d2282eae5d7,to CityBus Center,1,91029a2c-5eb4-4e6e-b1a9-9829cbe88ba0
13,b46095f5-5092-459d-86e7-20f6b85baca8,3be454d7-4abe-401c-8072-d6717d368da1,5c65de3b-4778-4554-ad22-3398f528e3ef,to Ivy Tech via Tipp Mall,1,c5c85992-ea97-448c-9d5c-72320e35e147
52E,b46095f5-5092-459d-86e7-20f6b85baca8,51bccbc1-f389-4efa-b305-3fb023646c64,8fe3c425-4dbe-4257-b24b-a82e93789840,Express Service to Purdue Campus,0,84269529-1f87-4d55-9834-0230b2e1bf3a
21,b46095f5-5092-459d-86e7-20f6b85baca8,eef5a195-ed9b-49fc-bb25-bfb08d1c2d1c,41320e98-b337-4bf2-9eff-4b8b6ac97941,to CityBus Center via Purdue Campus,1,e63b45d6-19d6-42d1-9abe-4152875ba94b
35,e888219d-e041-4b3b-bb56-b39636875a36,34b5e672-a5c3-447f-b3cb-acadf1a20dea,8efabf15-d065-404b-b1bb-535c12a9b3be,to Ivy Tech,1,5892de8a-6d52-408e-b6d2-220d8b700125
53E,b46095f5-5092-459d-86e7-20f6b85baca8,f279b712-8c94-4958-b07a-4ca219a6ed19,53fab52c-1139-47cc-9b3f-f3b9d78d86eb,Express Service to Purdue Campus,0,384cbb2c-fbed-4f2f-9f3f-e79561a59a4c
22,e888219d-e041-4b3b-bb56-b39636875a36,ea0f232c-2bf7-441c-85dc-f33a78687919,0be019d1-53dc-4049-9821-016d4e7d7ee0,to WL Walmart,0,1e8a3528-465d-456d-af3b-5e7c1ab758ac
14,b46095f5-5092-459d-86e7-20f6b85baca8,77a2705e-8048-4ff4-bcd1-4c2a58a00635,8d44af5f-359d-49f6-8b0b-cdbb682b958f,to CityBus Center via Pay Less on Beck Lane,0,c5c85992-ea97-448c-9d5c-72320e35e147
33,b46095f5-5092-459d-86e7-20f6b85baca8,331537e2-f6a9-453b-acef-b74108862c75,3f0501eb-3b2c-4ffd-ac91-7aea62ab0db7,to Earl Ave,0,36404f88-6465-4083-a815-83dc34cad2ee
51E,b46095f5-5092-459d-86e7-20f6b85baca8,d3901bed-01df-41ae-b923-8b36a85fd9c7,fd8cfb59-da55-4eaa-b557-6b2950043674,Express Service to Purdue Campus,1,ab953e12-be53-4b4c-ba39-9ef36f869868
42,b46095f5-5092-459d-86e7-20f6b85baca8,ec241e15-8939-4186-a1b4-5e072d507e9c,d62644f1-4b8e-4aa1-bc8d-0afb59c6b016,to River Rd & Kalberer Rd,0,e5595c05-7685-42a6-b8a9-480c5239a7a9
34,e888219d-e041-4b3b-bb56-b39636875a36,cef9b260-e094-4659-b9c4-c4cc55c2cea5,1934197d-f175-49a7-839e-fc3ac6bf46fa,to CityBus Center,1,eb421d36-621d-4b8a-860a-da9eb352dc36
14,b46095f5-5092-459d-86e7-20f6b85baca8,021b44cb-9dc9-41f8-8841-30b782e0fb60,8d44af5f-359d-49f6-8b0b-cdbb682b958f,to CityBus Center via Pay Less on Beck Lane,0,4a027252-0c1f-4fe1-b8f6-8cffe6477d6a
23,b46095f5-5092-459d-86e7-20f6b85baca8,f84835c9-a49b-4b87-a895-0994cd3879af,d9e6d371-9610-44d9-9781-33cddd4eee53,to WL Walmart,1,3daecfd8-ca10-430c-8fa2-32d311cb4a86
13,b46095f5-5092-459d-86e7-20f6b85baca8,4236f507-6980-49f0-a5f7-fec90718f5a5,ee49c7f5-2351-445b-b4ed-f0f3503377f4,to CityBus Center via Tipp Mall,0,792c82b7-cff7-4912-a017-d4d598562bb1
36,b46095f5-5092-459d-86e7-20f6b85baca8,5da2dbe8-c20c-4c17-8453-773c86d1e88f,79578537-88cd-4d42-9745-49cf6f3c5712,to Pay Less on Beck Lane 231 via Walmart on VMP,0,79df9ad9-dade-410e-8011-16b3fc062550
13,b46095f5-5092-459d-86e7-20f6b85baca8,3f4fbdc5-d83d-41bd-8004-4d933c5e2605,5c65de3b-4778-4554-ad22-3398f528e3ef,to Ivy Tech via Tipp Mall,1,c5c85992-ea97-448c-9d5c-72320e35e147
21,e888219d-e041-4b3b-bb56-b39636875a36,d8c6c46c-9664-43a2-b843-02f1d25a0b1d,c9799aec-2e5d-4861-bab9-3f93198d76dc,to Walmart West via Purdue Campus,0,55a989e5-7d5c-4471-8dab-2f627ddaf737
22,e888219d-e041-4b3b-bb56-b39636875a36,56c3d446-a79c-4627-a8a4-1403e62d25a3,4fd2167d-7855-4648-8faf-21606791a86c,to CityBus Center,1,a638d812-b87a-484f-a461-f0acf321b44f
14,e888219d-e041-4b3b-bb56-b39636875a36,bb046ae9-d3d9-4991-9a80-05ad979bdabe,10661157-85f9-4587-9139-0124cd3c3f7f,to CityBus Center via Pay Less on Beck Lane,0,9163db29-66a8-48af-b7b1-06f2f6de22c8
36,b46095f5-5092-459d-86e7-20f6b85baca8,b9aaeb94-4ef0-416e-ac66-e20fc63aa27d,e842f5a1-f2f3-4e5d-b025-0ada6d3caf83,to Ivy Tech via Walmart on VMP,1,79b9108f-b6aa-4e2a-8e14-a5d7f71376ae
31,e888219d-e041-4b3b-bb56-b39636875a36,6513b7f7-8ad2-49c4-b79d-86ed09ae0c07,01a7fb28-606b-4ea4-a768-677ac3e1dcd0,to CityBus Center,0,17cba87b-9770-47f4-b1d5-b25be22a9f1d
13,b46095f5-5092-459d-86e7-20f6b85baca8,f5fab5fd-4745-418a-ac5e-de287e606924,5c65de3b-4778-4554-ad22-3398f528e3ef,to Ivy Tech via Tipp Mall,1,4a027252-0c1f-4fe1-b8f6-8cffe6477d6a
13,e888219d-e041-4b3b-bb56-b39636875a36,8498e187-92f5-4c40-b342-e6b68d471f83,14783f1e-cfa7-456e-b1fa-020478b8a0f6,to Ivy Tech via Tipp Mall,1,9163db29-66a8-48af-b7b1-06f2f6de22c8
12,e888219d-e041-4b3b-bb56-b39636875a36,9ec57d3a-5072-4846-b210-9a42ba1c9291,30f49bff-7d39-4b55-aa46-8bf394572be7,to Meijer east via Walmart,1,2de65296-ac20-4087-bfe8-d8ceb7160b11
12,b46095f5-5092-459d-86e7-20f6b85baca8,8cf3bfd2-9f62-4a59-92d7-f62e132c8e3b,30f49bff-7d39-4b55-aa46-8bf394572be7,to Meijer east via Walmart,1,d5b377ad-64bf-4bfe-b0b9-e753651f4d18
34,e888219d-e041-4b3b-bb56-b39636875a36,014f577a-19ce-4c6b-a7c0-9c57b50b1ab6,1934197d-f175-49a7-839e-fc3ac6bf46fa,to CityBus Center,1,eb421d36-621d-4b8a-860a-da9eb352dc36
42,b46095f5-5092-459d-86e7-20f6b85baca8,b74963b9-002b-4c6c-ac40-1ff69c6e6392,991a95f3-1510-4bce-a830-fde22f082f7f,to Purdue Campus and PMU,1,e5595c05-7685-42a6-b8a9-480c5239a7a9
34,e888219d-e041-4b3b-bb56-b39636875a36,967dd553-d73e-4643-bcc4-198c0e539bd3,c505198f-66a9-495a-ad61-d3b5769ab604,to Lafayette Square on Teal Road,0,eb421d36-621d-4b8a-860a-da9eb352dc36
14,e888219d-e041-4b3b-bb56-b39636875a36,08190d5d-a969-4a1d-bcf4-c0b1e46989c9,10661157-85f9-4587-9139-0124cd3c3f7f,to CityBus Center via Pay Less on Beck Lane,0,01014f11-2a8a-40f5-966d-74a3e6b3235e
22,b46095f5-5092-459d-86e7-20f6b85baca8,8babbb30-d38c-44f4-9180-5488081ca136,4fd2167d-7855-4648-8faf-21606791a86c,to CityBus Center,1,0f2eeb01-139d-4297-aca9-d41208b9b13a
23,e888219d-e041-4b3b-bb56-b39636875a36,747715b5-08eb-40ef-a951-6f31b4f69585,03e74389-fe52-4946-8b43-0d5ae70eecd0,to Klondike Rd via Meijer (West Lafayette),0,ece66416-74fb-4507-94a0-d7ff751b442a
14,b46095f5-5092-459d-86e7-20f6b85baca8,3eeca643-2f83-4055-ba56-549be2a1bf10,190df76a-874b-4006-aed3-168253df771a,to Ivy Tech via Pay Less on Beck Lane,1,3a310b0b-a56d-446a-a62c-0f7356085718
11,b46095f5-5092-459d-86e7-20f6b85baca8,9ddab2fc-ed75-4c16-b6a3-5b0e5e149b82,cb2c14f0-3cf3-4b84-a135-816b58d5b909,to CityBus Center,0,14bb238b-f62b-4200-8e87-43e5af1e8faf
21,b46095f5-5092-459d-86e7-20f6b85baca8,b7d725ac-26d1-4e8d-9378-77937930b7c4,c9799aec-2e5d-4861-bab9-3f93198d76dc,to Walmart West via Purdue Campus,0,a9ebbb7b-7e88-4f6e-be2b-fa062d3a6a30
13,b46095f5-5092-459d-86e7-20f6b85baca8,5d2f718b-22fe-414a-94d0-f5155b0ae0ab,ee49c7f5-2351-445b-b4ed-f0f3503377f4,to CityBus Center via Tipp Mall,0,3a310b0b-a56d-446a-a62c-0f7356085718
22,e888219d-e041-4b3b-bb56-b39636875a36,a77ea0a0-80af-4935-b1ba-6c2970e98444,4fd2167d-7855-4648-8faf-21606791a86c,to CityBus Center,1,a638d812-b87a-484f-a461-f0acf321b44f
33,b46095f5-5092-459d-86e7-20f6b85baca8,b503d1a6-c719-422f-b35d-3a40ed8dff8e,3f0501eb-3b2c-4ffd-ac91-7aea62ab0db7,to Earl Ave,0,36404f88-6465-4083-a815-83dc34cad2ee
21,b46095f5-5092-459d-86e7-20f6b85baca8,916d2a0f-f26b-499f-9603-8941dd9fa893,c9799aec-2e5d-4861-bab9-3f93198d76dc,to Walmart West via Purdue Campus,0,a9ebbb7b-7e88-4f6e-be2b-fa062d3a6a30
33,e888219d-e041-4b3b-bb56-b39636875a36,21ec879c-75d4-468e-93f8-ebd0cadb198c,3f0501eb-3b2c-4ffd-ac91-7aea62ab0db7,to Earl Ave,0,7abc36da-7227-4eec-9c7e-81d932b39ee2
